Year,Month,State,County,Rate
2015,February,Mississippi,Newton County,6.1
2015,February,Mississippi,Panola County,9.4
2015,February,Mississippi,Monroe County,7.9
2015,February,Mississippi,Hinds County,6.1
2015,February,Mississippi,Kemper County,10.6
2015,February,Mississippi,Calhoun County,6.9
2015,February,Mississippi,Clarke County,7.9
2015,February,Mississippi,Jefferson County,14.3
2015,February,Mississippi,Madison County,4.5
2015,February,Mississippi,Sharkey County,11.1
2015,February,Mississippi,Tunica County,11.5
2015,February,Mississippi,Tate County,7.6
2015,February,Mississippi,Lafayette County,5.5
2015,February,Mississippi,Bolivar County,8.6
2015,February,Mississippi,Stone County,7.6
2015,February,Mississippi,Noxubee County,10.6
2015,February,Mississippi,Lamar County,4.7
2015,February,Mississippi,Lee County,5.9
2015,February,Mississippi,Desoto County,5
2015,February,Mississippi,Adams County,7.6
2015,February,Mississippi,Pontotoc County,5.9
2015,February,Mississippi,Marion County,7.4
2015,February,Mississippi,Jasper County,7.5
2015,February,Mississippi,Simpson County,5.7
2015,February,Mississippi,Sunflower County,12.6
2015,February,Mississippi,Hancock County,6.6
2015,February,Mississippi,Winston County,8.3
2015,February,Mississippi,Carroll County,8.5
2015,February,Mississippi,Copiah County,7.6
2015,February,Mississippi,Jefferson Davis County,8.2
2015,February,Mississippi,Lincoln County,5.9
2015,February,Mississippi,Marshall County,7.7
2015,February,Mississippi,Jackson County,7.3
2015,February,Mississippi,Pike County,7.4
2015,February,Mississippi,Prentiss County,6.2
2015,February,Mississippi,Perry County,8.2
2015,February,Mississippi,Franklin County,7.2
2015,February,Mississippi,Lowndes County,7.5
2015,February,Mississippi,Quitman County,12.1
2015,February,Mississippi,Neshoba County,6.1
2015,February,Mississippi,Clay County,10.3
2015,February,Mississippi,Attala County,8.1
2015,February,Mississippi,Alcorn County,5.6
2015,February,Mississippi,Chickasaw County,8.1
2015,February,Mississippi,Humphreys County,15.4
2015,February,Mississippi,Greene County,7.7
2015,February,Mississippi,Leflore County,11.3
2015,February,Mississippi,Benton County,8.5
